id,nombre,descripcion,direccion,latitud,longitud,fecha_inicio,hora_inicio,fecha_fin,hora_fin,tipo_intervencion,tipo_afectacion,titularidad,impacto_pmr,notas
AFEC-0001,Obra de renovación de calzada,Corte de carril con regulación temporal del paso de vehículos.,av. de andalucia,36.716461,-4.430528,2026-01-15,17:00,2026-01-18,17:00,obra,corte_trafico,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0002,Ocupación de vía por acto público,Estrechamiento temporal del vial por intervención en calzada.,calle hilera,36.716967,-4.426055,2026-01-18,07:00,2026-01-18,10:00,evento,ocupacion_calzada,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0003,Mejora de acerado y pavimento,Ocupación parcial de acera con itinerario peatonal alternativo.,calle carreteria,36.723068,-4.424656,2026-03-11,17:00,2026-03-11,23:00,obra,ocupacion_acera,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0004,Limpieza técnica de calzada,Ocupación parcial de calzada con reducción de capacidad vial.,calle bolsa,36.719245,-4.420393,2026-01-12,22:00,2026-01-13,01:00,mantenimiento,ocupacion_calzada,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0005,Canalización subterránea,Reducción del paso peatonal durante la intervención.,calle carreteria,36.722924,-4.423699,2026-03-13,07:00,2026-03-14,19:00,obra,ocupacion_acera,Empresa Municipal de Transportes,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0006,Reurbanización de tramo viario,Corte de carril con regulación temporal del paso de vehículos.,calle carreteria,36.723563,-4.424542,2026-02-23,08:00,2026-02-25,08:00,obra,corte_trafico,Contrata municipal,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0007,Canalización subterránea,Interrupción parcial o total de la circulación durante la intervención.,calle carreteria,36.724291,-4.425799,2026-01-01,08:00,2026-01-01,16:00,obra,corte_trafico,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0008,Canalización subterránea,Afección temporal al tránsito peatonal en el entorno.,calle marmoles,36.719323,-4.428384,2026-02-13,07:00,2026-02-14,07:00,obra,ocupacion_acera,Policía Local,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0009,Ocupación de vía por acto público,Estrechamiento temporal del vial por intervención en calzada.,calle bolsa,36.719691,-4.420707,2026-02-13,17:00,2026-02-13,21:00,evento,ocupacion_calzada,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0010,Corte temporal por actividad deportiva,Restricción temporal de paso para vehículos no autorizados.,av. de andalucia,36.718680,-4.429522,2026-02-14,08:00,2026-02-14,10:00,evento,restriccion_paso,Policía Local,si,Registro sintético generado para análisis de impacto sobre movilidad.
